og_index,tconst
1013805,10078664
1013894,10078822
1013901,10078834
1013936,10078894
1013940,10078900
1014181,10079310
1014230,10079398
1014393,10079698
1014424,10079750
1014447,10079796
1014556,10079986
1014595,10080052
1014601,10080062
1014603,10080066
1014721,10080270
1014724,10080276
1015045,10080834
1015095,10080924
1015130,10080994
1015131,10080996
1015184,10081086
1015195,10081104
1015202,10081116
1015205,10081120
1015213,10081134
1015224,10081154
1015229,10081162
1015231,10081166
1015234,10081172
1015252,10081202
1015257,10081210
1015273,10081238
1015301,10081286
1015356,10081380
1015368,10081402
1015383,10081428
1015451,10081546
1015477,10081590
1015480,10081596
1015501,10081632
1015553,10081728
1015921,10082356
1016028,10082536
1016259,10082932
1016324,10083048
1016352,10083094
1016638,10083622
1016822,10083934
1016852,10083986
1016973,10084190
1017071,10084358
1017093,10084394
1017218,10084608
1017222,10084614
1017262,10084684
1017264,10084688
1017302,10084752
1017309,10084764
1017316,10084778
1017318,10084780
1017322,10084788
1017367,10084868
1017428,10084972
1017611,10085296
1017612,10085298
1017636,10085338
1017734,10085524
1017806,10085648
1017905,10085818
1018103,10086164
1018262,10086448
1018291,10086502
1018376,10086648
1018402,10086692
1018444,10086764
1018456,10086784
1018470,10086808
1018486,10086834
1018528,10086906
1018657,10087134
1018809,10087396
1018839,10087448
1018849,10087464
1018874,10087508
1018900,10087550
1018945,10087628
1018947,10087630
1019073,10087852
1019128,10087946
1019162,10088006
1019826,10089152
1020204,10089828
1020270,10089942
1020429,10090222
1020722,10090744
1021022,10091268
1021090,10091380
1021163,10091514
1021171,10091530
1021267,10091696
1021370,10091870
1021418,10091956
1021426,10091972
1021523,10092142
1021656,10092368
1021865,10092736
1021885,10092770
1021937,10092860
1021953,10092888
1022065,10093086
1022070,10093094
1022086,10093120
1022898,10094548
1022948,10094644
1023314,10095266
1023320,10095276
1023353,10095336
1023445,10095498
1023511,10095618
1023551,10095688
1023567,10095714
1023852,10096224
1023965,10096422
1023966,10096424
1024216,10096850
1024322,10097056
1024340,10097086
1024474,10097312
1024504,10097364
1024517,10097388
1024541,10097436
1024558,10097464
1024568,10097480
1024569,10097482
1024597,10097530
1024605,10097544
1024723,10097752
1024761,10097816
1024766,10097824
1024771,10097832
1024830,10097936
1024840,10097954
1024842,10097958
